               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089982,            0.052574,            0.048782,              0.3633,             0.23415,             0.18339,            0.067652,            0.068048,            0.032458,            0.031325,            0.070286,           0.0033016,           0.0033016
                   1,            0.067505,            0.049377,            0.024698,             0.46309,             0.36263,             0.24946,            0.095193,            0.064196,            0.028346,            0.017854,            0.040249,           0.0065984,           0.0065984
                   2,            0.063537,            0.049111,            0.016578,             0.46337,             0.30496,             0.24249,            0.093724,            0.064087,            0.033581,            0.018325,            0.010176,           0.0098586,           0.0098586
                   3,             0.05961,            0.049832,            0.014248,             0.53828,             0.34423,             0.32503,             0.14092,            0.056894,            0.032017,            0.019535,            0.009835,            0.009835,            0.009835
                   4,             0.05678,            0.049776,            0.012778,             0.60307,             0.42806,             0.40061,              0.1786,            0.051806,            0.029996,             0.01071,            0.009835,            0.009835,            0.009835
                   5,            0.054496,            0.048883,            0.010977,             0.66478,             0.41418,             0.44018,             0.19546,            0.054136,            0.029266,           0.0092547,             0.00978,             0.00978,             0.00978
                   6,            0.053354,            0.048466,            0.009931,             0.59629,             0.39184,             0.40731,             0.18869,            0.052379,            0.030583,             0.01213,            0.009725,            0.009725,            0.009725
                   7,            0.052186,            0.048242,           0.0093148,             0.69318,             0.48183,             0.50267,             0.24559,            0.048319,            0.028369,           0.0063323,             0.00967,             0.00967,             0.00967
                   8,            0.051151,            0.047975,           0.0086875,             0.71286,             0.43169,             0.47214,             0.22323,            0.051153,            0.030182,            0.011933,            0.009615,            0.009615,            0.009615
                   9,            0.050889,            0.047121,           0.0084113,             0.70445,             0.48437,             0.52317,             0.25836,            0.048195,            0.030652,            0.005486,             0.00956,             0.00956,             0.00956
                  10,            0.050139,             0.04597,            0.007905,             0.66005,              0.4519,             0.47456,             0.22632,            0.049447,            0.030183,           0.0075583,            0.009505,            0.009505,            0.009505
                  11,            0.049575,            0.046088,           0.0076332,             0.65075,             0.48839,             0.51238,             0.24153,            0.048531,            0.027904,           0.0059475,             0.00945,             0.00945,             0.00945
                  12,            0.049255,            0.045644,           0.0075905,             0.65679,             0.50179,             0.54219,             0.25794,            0.048143,            0.027485,           0.0058619,            0.009395,            0.009395,            0.009395
                  13,            0.048703,            0.045718,           0.0072792,             0.71584,             0.58024,             0.61871,             0.31312,            0.044336,             0.02568,           0.0037805,             0.00934,             0.00934,             0.00934
                  14,            0.048426,            0.045446,           0.0065268,             0.70593,             0.56706,             0.61445,             0.31665,            0.044202,            0.026072,           0.0038327,            0.009285,            0.009285,            0.009285
                  15,            0.048103,            0.045601,           0.0065102,             0.69276,             0.52099,             0.56124,             0.28289,            0.046621,            0.027992,           0.0056751,             0.00923,             0.00923,             0.00923
                  16,            0.047755,            0.044545,           0.0063979,             0.64892,             0.58224,             0.60798,             0.31055,             0.04519,             0.02665,           0.0036714,            0.009175,            0.009175,            0.009175
                  17,            0.047586,            0.045317,           0.0060507,              0.7001,             0.57471,             0.62024,             0.31722,            0.044445,            0.026474,           0.0042432,             0.00912,             0.00912,             0.00912
                  18,            0.047173,            0.044877,           0.0058863,             0.67224,             0.61442,             0.64086,             0.32319,            0.043854,            0.025608,           0.0032601,            0.009065,            0.009065,            0.009065
                  19,            0.046818,            0.044243,            0.005856,             0.65704,              0.6022,             0.63256,             0.32579,            0.043305,            0.025706,           0.0041329,             0.00901,             0.00901,             0.00901
                  20,            0.046378,            0.043653,            0.005498,             0.69768,             0.61708,             0.65344,             0.34081,            0.042673,            0.025234,           0.0034685,            0.008955,            0.008955,            0.008955
                  21,             0.04642,            0.043983,           0.0053246,             0.71801,             0.62706,             0.68216,             0.35608,             0.04232,            0.024357,           0.0027594,              0.0089,              0.0089,              0.0089
                  22,            0.045866,            0.043866,           0.0052656,              0.7223,              0.6603,             0.70492,             0.37363,             0.04122,            0.024282,           0.0029407,            0.008845,            0.008845,            0.008845
                  23,            0.045929,            0.043102,           0.0055004,             0.69525,             0.63671,             0.68148,             0.35435,            0.042137,             0.02491,           0.0028701,             0.00879,             0.00879,             0.00879
                  24,            0.045645,            0.042654,           0.0050997,             0.71501,             0.66114,             0.70167,             0.36813,            0.041256,            0.024323,           0.0021957,            0.008735,            0.008735,            0.008735
                  25,            0.045658,            0.043173,            0.005086,             0.69461,             0.60072,             0.64912,               0.333,            0.043995,            0.026175,            0.004169,             0.00868,             0.00868,             0.00868
                  26,            0.045564,            0.042996,           0.0049554,             0.68784,             0.62493,              0.6676,             0.33276,            0.043502,            0.026119,           0.0029771,            0.008625,            0.008625,            0.008625
                  27,            0.045504,            0.042724,           0.0050303,             0.72771,             0.69624,             0.73453,              0.3908,            0.040308,             0.02349,           0.0019356,             0.00857,             0.00857,             0.00857
                  28,            0.044794,            0.042122,           0.0047001,             0.73508,             0.62015,             0.67962,              0.3562,            0.043381,            0.025866,           0.0040436,            0.008515,            0.008515,            0.008515
                  29,            0.044722,             0.04209,           0.0047037,             0.73798,             0.69087,             0.74112,             0.39045,            0.040359,            0.023361,           0.0021463,             0.00846,             0.00846,             0.00846
                  30,            0.044542,            0.042645,           0.0046155,             0.74022,             0.70293,             0.75447,             0.40843,            0.039572,            0.023418,           0.0020505,            0.008405,            0.008405,            0.008405
                  31,            0.044146,            0.041988,            0.004597,             0.76656,             0.70108,             0.75632,             0.40833,            0.039885,             0.02313,           0.0019374,             0.00835,             0.00835,             0.00835
                  32,            0.044514,            0.041881,           0.0045619,               0.737,              0.6691,              0.7127,             0.37637,            0.041369,            0.024537,           0.0030623,            0.008295,            0.008295,            0.008295
                  33,            0.044435,            0.042002,           0.0044376,             0.74449,             0.68142,             0.73102,             0.39039,            0.040415,            0.023976,            0.002067,             0.00824,             0.00824,             0.00824
                  34,            0.044315,            0.041282,           0.0044242,             0.77268,             0.71286,             0.76895,             0.41841,            0.038735,            0.022567,           0.0014651,            0.008185,            0.008185,            0.008185
                  35,            0.044042,            0.042151,           0.0042557,             0.78628,             0.72511,             0.78641,             0.43115,            0.038742,             0.02241,           0.0015802,             0.00813,             0.00813,             0.00813
                  36,            0.043805,            0.041828,           0.0040607,              0.7911,             0.73011,             0.78828,               0.434,            0.038241,            0.021981,           0.0014054,            0.008075,            0.008075,            0.008075
                  37,            0.043662,            0.040937,           0.0040502,             0.76435,             0.73634,             0.78777,             0.43729,            0.038237,            0.022252,           0.0014662,             0.00802,             0.00802,             0.00802
                  38,             0.04328,            0.040963,           0.0039407,              0.7668,             0.73817,             0.78031,             0.42838,            0.038383,            0.022466,           0.0014573,            0.007965,            0.007965,            0.007965
                  39,            0.043458,            0.041213,           0.0040629,             0.80127,             0.72235,             0.78836,             0.44236,            0.037966,             0.02203,           0.0016504,             0.00791,             0.00791,             0.00791
                  40,            0.043086,            0.040817,           0.0040923,             0.77772,              0.7368,             0.79049,             0.43465,            0.038107,            0.022127,           0.0013633,            0.007855,            0.007855,            0.007855
                  41,            0.043167,            0.040754,           0.0041087,             0.79204,             0.75943,             0.81085,             0.45394,            0.037556,            0.021603,           0.0012081,              0.0078,              0.0078,              0.0078
